===== 새 실행 시작: 2026-08-27T14:43:07 (FWD=226, BACK=209.1, sigma_xy_mm=100, sigma_theta_degrees=20) =====
scan=   95 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.156 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   96 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   97 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   98 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=   99 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.156 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  100 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  101 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.287 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  102 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.089 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  103 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.089 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  104 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  105 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  106 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.155 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  107 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  108 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.157 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
scan=  109 SPEED_FAST=   0 TARGET_STEER=   0 dt=0.154 dxy_mm=   0.00 dtheta_deg=   0.00 누적dxy_mm=      0.0 pos=(x=3000.0, y=3000.0, theta=0.0)
